Pre_surn	Pre_fore
Anderdone	Johannes
Anderson	
Anderson	Alexandri
Anderson	Anthonius
Anderson	Anthony Tolhurst
Anderson	Benjamin
Anderson	Charles John
Anderson	Daniel
Anderson	Edward
Anderson	George
Anderson	George William
Anderson	Georgius
Anderson	Guilellmus
Anderson	Guilielmus
Anderson	Joannis
Anderson	Johannes
Anderson	Johannis
Anderson	Nathaniel
Anderson	Nicholaus
Anderson	Robertus
Anderson	Thomas
Anderson	Willi'mus
Anderson	William
Anderson	Willimus
Andersonne	Robertus
Anderton	Jacobus
Anderton	James
Anderton	Thomas
Anderton	unknown
Anderton	Willimus
Andreson	Henrici
Andreson	Henry
Andrew	
Andrew	James
Andrew	Johannes
Andrew	John
Andrew	Joseph
Andrew	Thomas
Andrew	Wilhelmus
Andrew	William
Andrewe	Johannes
Andrewes	Bartholomeus
Andrewes	Gerrard
Andrewes	Henricus
Andrewes	Johannes
Andrewes	Johnis
Andrewes	Josua
Andrewes	Lancelot
Andrewes	Lancelottus
Andrewes	Roger
Andrewes	Rogerus
Andrewes	Thomas
Andrewes	unknown
Andrewes	Willimus
Andrews	
Andrews	Anthonius
Andrews	Benjamin
Andrews	Charles
Andrews	Christoferus
Andrews	Dummer
Andrews	Edward William Roberts
Andrews	Gerard
Andrews	Gerrard
Andrews	Gulielmus
Andrews	Henricus
Andrews	Jacobi
Andrews	Jacobus
Andrews	James
Andrews	Johannes
Andrews	John
Andrews	Joseph
Andrews	Lancelotus
Andrews	Nicholas
Andrews	Nicholaus
Andrews	Randal
Andrews	Randle
Andrews	Richard
Andrews	Robert
Andrews	Roberti
Andrews	Rogerus
Andrews	Thomae
Andrews	Thomas
Andrews	Townsend
Andrews	unknown
Andrews	William
Andros	Jacobus
Androwe	Johannes
Anesley	Radulphi
Anesley	Ralph
Anfeilde	Robert
Angel	Johannes
Angell	Johannes
Angier	Hollis
Angier	James
Angier	Johannes
Angier	Johannis
Angier	Johes
Angier	John
Angier	Samuel
Angier	Thomae
Angier	Thomas
Angood	Thomas
Anguish	George
Anguish	Ricardi
Anguish	Thomas
Anion	Johannes
Anndrews	James
Anne	blank
Anne	Edwardus
Anne	Johannes
Anne	unknown
Annesley	
Annesley	Arthur
Annesley	Charles
Annesley	Francis
Annesley	Martin
Annesley	William
Annesly	
Annon	Gilbertus
Annon	Thomas
Annsley	Arthur
Ansdell	James
Ansell	John
Ansell	Mathew
Ansell	Reginald
Ansell	Richardus
Ansell	Thomas
Ansley	Charles Alleyne
Ansley	James
Anslie	Nicholas
Anson	Charles
Anson	Frederick
Anson	Henry
Anstell	Waltherus
Anstey	Christopher
Anstey	Christophori
Anstey	Christophorus
Anstis	George
Anstis	Harry
Ansty	Christopher
Anthill	Gulielmus
Anthonies	Charles
Anthony	Marci
Anthony	William
Antill	Gulielmi
Antillby	Johannis
Anton	not given
Anton	Roberty=us
Anton	William
Antram	Johannes
Antrobus	George
Antrobus	Georgij
Antrobus	Henry
Antrobus	Robertus
Antrobus	Thomas
Antrobus	William
Antrobus	Willimus
Antrobus	Willmus
Anwick	Amon
Anwyl	
Anwyl	Lewis
Anwyl	Maurice
Anwyl	Owen
Anwyl	Rice
Anwyl	Robert
Anwyl	William
Anwyl Owen	Ellis
Anwyl Roberts	William
Anwyll	Gulielmus
Anyan	Richardus
Anyan	Thomas
Anyon	
ap gr. Phivion	David
ap Hoell	Davidus
ap Howell	Thomas
ap Jenkins	Edwardus
ap Powell	Robertus
ap Res	Lewis
ap Rice	Hugh
ap Rice	Lewis
Ap Rice	Lodovicus
ap Rice	Robert
ap Rossen	Griffinus
ap Ryce	Hugo
ap Thomas	Ricardus
Ap Yeuan	Davyd
Apharey	Johannes
Apharrie	Johannes
Apharry	John
Apharrye	John
Apilbye	John
Apleby	Johannes
Apleton	Johannes
Apleton	Thomas
Aplin	Christopher D'Oyly
Aplin	Richard
Appelford	Danielis
Apperley	Anthony
Apperley	Thomas
Applebee	George
Applebee	Johannes
Applebee	JOhn
Applebie	Johannes
Appleby	Thomas
Applebye	Johannes
Appleton	Robertus
Applin	Rici
