Surname	Forename
Aldrington	William
Aldus	Samuel
Aldwiche	Simon
Aldworth	Gulielmus
Aldworth	John
Aldworth	Nathaniel
Aldworth	Thomas
Aldworthe	Johannes
Alecrofte	John
Alen	Edmundus
Alen	Gervase
Alen	Henry
Alen	Johannes
Alen	Robertus
Alen	Simon
Alen	Thomas
Alen	William
Alen'	Robertus
Alenson	Edwardi
Alerest	John
Alerton	John
Alesbie	Samuel
Alesbury	Thomas
Alestrye	Richard
Aleworth	Humfredus
Alexander	Alexander
Alexander	Charles
Alexander	Franciscus
Alexander	John
Alexander	John?
Alexander	Leonard
Alexander	Matthew
Alexander	Michael
Alexander	Monsey
Alexander	Peter
Alexander	Philipps
Alexander	Robert
Alexander	Robertus
Alexander	William
Aley	Thomas
Aleyn	Giles
Aleyn	James
Aleyn	Thomas
Aleyn	Thome
Aleyne	Charles
Alfeilde	Robertus
Alford	Thomas
Alford	Charles
Alford	Edward
Alford	Georgius
Alford	Henry
Alford	John
Alford	Robert
Alford	Samuel
Alford	Thomas
Alford	Walter
Alford	William
Alforde	Amos
Alforde	Francis
Algar	Joseph
Algar	Nathaniel
Alicock	
Alies	Nathaniel
Alington	Henry
Alington	John
Alington	Marmaduke
Alington	Richard Pye
Alington	William
Alinson	Peter
Alinus	Thomas
Alison	Archibald
Alison	Richardus
Alkin	John
Alkin	Sampson
Alkin	Simon
Alkin	Thomas
Alkinton	Johannes
Allaly	Robert
Allam	Andreas
Allam	Johannes
Allan	George
Allan	Hugh
Allan	John
Allan	Thomas
Allanbridge	John
Allanby	Christopher
Allane	Andreas
Allane	Andrew
Allanson	Cuthbert
Allanson	Edward
Allanson	George
Allanson	Gulielmus
Allanson	Johannes
Allanson	John
Allanson	Robert
Allanson	Stephanus
Allanson	Thomas
Allardes	David
Allason	John
Allaway	Edwardus
Allbright	William
Allbut	Thomas
Allcock	Thomas
Alldrech	Thomas
Alldrege	Reginaldus
Alle	William
Alleine	Jonathan
Allen	
Allen	Abraham
Allen	Alexander
Allen	Bennett
Allen	Charles
Allen	Charles Jeffery
Allen	Cuthbert
Allen	David Bird
Allen	Davidus
Allen	Edmund
Allen	Eduardus
Allen	Edward
Allen	Edwardus
Allen	Francis
Allen	Franciscus
Allen	George
Allen	Georgius
Allen	Gualterus
Allen	Henricus
Allen	Henry
Allen	Hollyer
Allen	Hugh
Allen	Isaac
Allen	Jacobus
Allen	James
Allen	Johannes
Allen	Johanni
Allen	John
Allen	John Francis
Allen	John Henry Thomas
Allen	John Ward
Allen	Jonathan
Allen	Joseph
Allen	Joshua
Allen	Jude
Allen	Lemuel
Allen	Matheus
Allen	Mattheus
Allen	Matthew
Allen	not given
Allen	Peter
