Surname	Forenames
O'Shiel	Conach
Oglethorpe	Owen
Osbaldeston	Richard
Oswald	John
Ottley	Adam
Otway	Thomas
Overall	John
Overton	William
Owen	John
Owen	Morgan
Owens	John
Painter	David
Palliser	William
Parfew	Robert
Parfoye	Robert
Parker	John
Parker	Matthew
Parker	Samuel
Parkhurst	John
Parr	Richard
Parry	Benjamin
Parry	Edward
Parry	Henry
Parry	John
Parry	Richard
Parsons	John
Paterson	John
Pates	Richard
Paton	James
Patrick	Simon
Paul	William
Pearce	Zachary
Pearson	John
Peculiar	Lay
Peculiar Jurisdiction	East Harptree
Peculiar Jurisdiction	Southwell Minster
Peculiar Jurisdiction	St Decumans
Peculiar Jurisdiction	Thame
Peirs	William
Pelham	George
Peploe	Samuel
Percy	Hugh
Percy	Thomas
Pery	William Cecil
Philips	John
Philpotts	Henry
Piers	John
Piers	William
Pilkington	James
Pilsworth	William
Pococke	Richard
Pole	David
Pole	Reginald
Ponet	John
Ponsonby	Hon. Richard
Pooley	John
Porteous	Beilby
Porter	John
Porteus	Beilby
Potter	Barnabas
Potter	John
Preston	William
Pretyman	George
Pretyman Tomline	George
Pretyman-Tomline	George
Price	Arthur
Price	Robert
Price	Thomas
Prideaux	John
Pritchett	John
Pullein	Tobias
Pullen	Samuel
Pursglove	Robert
Quin	John
Rainbowe	Edward
Ram	Thomas
Ramsay	James
Randolph	John
Ravis	Thomas
Redman	William
Reid	Robert
Repps	William
Reynell	Carew
Reynolds	Edward
Reynolds	Richard
Reynolds	Thomas
Richardson	John
Richmond	Richard
Rider	John
Ridley	Nicholas
Roan	John
Roberts	William
Robinson	Henry
Robinson	John
Robinson	Nicholas
Robinson	Richard
Rogers	Richard
Rollock	Peter
Rose	Alexander
Rose	Arthur
Ross	John
Rowlands	Henry
Rudd	Anthony
Rugge	William
Rundle	Thomas
Rust	George
Rutter	Samuel
Ryder	Henry
Salcot	John
Salisbury	John
Salmon	Thomas
Sampson	Richard
Sancroft	William
Sanders	Matthew
Sanderson	Robert
Sandes	Edwin
Sandys	Edwin
Saurin	James
Scambler	Edmund
Scory	John
Scott	Cuthbert
Scougal	Patrick
Scroggie	William
Searchfield	Rowland
Secker	Thomas
Senhouse	Richard
Sharp	James
Sharp	John
Shaxton	Nicholas
Sheldon	Gilbert
Sherburne	Robert
Sheridan	Patrick
Sherlock	Thomas
Sheyn	Matthew
Shipley	Jonathan
Sibthorp	Robert
Sinclair	Henry
Skiddy	Roger
Skinner	Richard
Skinner	Robert
Skip	John
Skyppe	John
Smalbroke	Richard
Smallbrooke	Richard
Smallwell	Edward
Smalridge	George
Smith	John
Smith	Miles
Smith	Thomas
Smyth	Arthur
Smyth	Edward
Smyth	Thomas
Smyth	William
Snowden	Robert
Sparke	Bowyer Edward
Sparke	Thomas
Sparrow	Anthony
Spottiswood	James
Spottiswoode	John
Sprat	Thomas
Squire	Samuel
St Lawrence	Hon. Thomas
Stafford	Nicholas
