Pre_surn	Pre_fore
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Thomas
Allen	Timothy
Allen	Timothy
Allen	Timothy
Allen	Wilhelmus
Allen	Wilhelmus
Allen	William
Allen	William
Allen	William
Allen	William
Allen	William
Allen	William
Allen	William
Allen	William
Allen	William
Allen	William
Allen	William
Allen	William
Allen	William Birkett
Allen	Williams
Allen	Williams
Allen	Williams
Allen	Williams
Allen	Williams
Allen	Willmus
Allen Jones	William
Allenby	John
Allens	Henrici
Allenson	Edward
Allenson	Edward
Allenson	Gilbert
Allenson	Jacobi
Allenson	Johannes
Allenson	Johannes
Allenson	Johannes
Allenson	Marmaducus
Aller	Thomas
Aller	Thomas
Allerton	Johannes
Allerton	Robert
Allestree	Carolus
Allestree	Charles
Allestree	Ricardus
Allestree	Richard
Allestrey	Thomas
Allet	Bryan
Allet	Bryan
Allett	Brian
Allett	Brian
Allexander	Matthew
Alley	Jerome
Alley	Rogerus
Alley	Rogerus
Alley	Rogerus
Alley	William
Alley	William
Alley	William
Alleyn	Abrahamus
Alleyn	Egidius
Alleyn	George
Alleyn	Henricus
Alleyn	Henricus
Alleyn	Richard
Alleyn	Richard
Alleyn	Richard
Alleyn	Simon
Alleyn	Thomas
Alleyn	Thomas
Alleyne	John
Alleyne	John
Alleyne	John
Alleyne	John
Alleyne	Richard
Alleyne	Richard
Alleyne Barker	William
Allfounder	Robert
Allfree	Edward Mott
Allfree	Edward Mott
Allgood	Robert
Allibaster	Thome
Allie	P.
Allie	Rogerus
Allin	Petrus
Allin	Simon
Alline	Thomas
Allington	Johannes
Allington	John
Allington	Robertus
Allington	Unknown
Allinson	Anthony
Allinson	John
Allison	Johannes
Allison	John
Allison	Richardi
Allison	Richardus
Allison	unknown
Allison	William
Allison	William
Alliston	Edwardus
Allix	Peter
Allix	Peter
Allix	Peter
Allix	Peter
Allix	Peter
Allix	Peter
Allix	Petri
Allix	Petrus
Allix	Petrus
Allix	Petrus
Allix	Richard Wager
Allix	Richard Wager
Allix	Richard Wager
Alllen	Charles
Allmarke	Ricardus
Allon	Samuel
Allot	Edwardi
Allot	Robert
Allott	Bryan
Allott	Francis
Allott	John
Allott	Robert
Allott	Robert
Allott	Roberti
Allott	Robertus
Allott	Robertus
Allport	Joseph
Allport	Josiah
Allport	Josiah
Allridge	Robertus
Allsop	Charles
Allsop	Thomas
Allsop	William
Allsopp	Charles
Allsopp	Charles
Allsopp	William Browne
Allsopp	William Browne
Allstone-Warren	Thomas
Allumbrig	blank
Allwin	Robertus
Allyn	Abraham
Allyn	Robertus
Allyne	Henricus
Almer	Theophili
Almon	Thomas
Almond	Carolus
Almond	Carolus
Almond	Carolus
Almond	George
Almont	Robertus
Alney	Richard
Alnred	Brianus
Alnwick	Arthurus
Aloid	Thomas
Alphen	Edmundus
Alpin	Thomas
Alport	Gulielmus
