Element
(Blumholz)
(Commer) Francesco
Albrecht, E.
Albrecht, F.
Albrecht, F.A.
Albrecht, Ferd.
Albrecht, Fr.
Albrecht, Franz Ant.
Albrecht, Franz Anton
Albrecht, Frz. Ant.
Albrecht, G.
Albrecht, Gustav
Albrecht, Hermann
Albrecht, Jean
Albrecht, Louis
Albrecht, Stephan
Albrecht, Th.
Albrecht. (C.J.)
Albrecht. Gust.
Albrechtsberger
Albrechtsberger (G.)
Albrechtsberger (J.G.)
Albrechtsberger, G.
Albrechtson, H.
Albu, Eugène v.
Albu, Otto
Alday le jeune, F.
Alday, F.
Alden, J.C. jun.
Alder, Ernest
Aleff jun, Georg
Aleff jun., Georg
Aleff jun., Georg.
Alejandri, J.
Aleneff, E.
Aler, Edwin
Alers, C.
Alessi, Agostino
Aletter, W.
Aletter, Wilh.
Aletter, Wilhelm
Aletter, Wilhelm.
Alex. Fesca
Alex. Girardi’s
Alex. Reichardt
Alexander Fesca
Alexander Friedrich (Landgraf v. Hessen)
Alexander Friedrich v. Hessen
Alexander Friedrich, (Landgraf v. Hessen)
Alexander Friedrich, Landgraf v. Hessen
Alexander Georg v. Hessen
Alexander v. Fielitz
Alexander, Ed. F.
Alexander, Hans
Alexander, J.
Alexander, M.
Alexander, Max
Alexander, Max.
Alexander, Prinz
Alexander, Prinz von Thurn-Taxis
Alexander, Siegmund
Alexandra Josiphowna (Grande-Duchesse de Russie)
Alexandra, Josephowna (Grossfürstin)
Alexandra, Josiphowna
Alexandra-Josiphowna, (Grossfürstin v. Russland)
Alexandre
Alexandroff, H.J.
Alexandrowna (Josephine Grossfürstin)
Alexis (Gustav)
Alexis (Jul.)
Alexis, H.
Alexis, Jul.
Alfano, Frank
Alfano, Frank.
Alfeld, C.
Alfeni, Carola di
Alföldy, Imre
Alfr. Oelschlegel
Alfred Oelschlegel
Alfred von Grossbritannien (Prinz, Herzog von Edinburg)
Alfred, A. de
Alfred, A. d’
Alfredi, C.
Alfredy, C.
Alfredy, E.
Alfvén, Hugo
Alfvén, Hugo.
Algeier, H.
Algier, J.
Alieneff
Alkan (C.V.)
Alkan (Ch. Val.)
Alkan (jne), Nap.
Alkan (Nap.)
Alkan, C.V.
Alkan, Ch. V.
Alkan, Ch.V.
Alkan, G.V.
Alkan, M.
Alkan, Siegfried
Alkan, V.
Alkan, V.E.
Alkier, S. de
Alkier, S. d’
Alkier, S. v.
Alkier, Susette
Alkier, Susette d’
Alkiers, Susette d’
Allaga
Allaga (Geza)
Allaga, G.
Allaga, Géza
Allaga, Géza v.
Allard, Carlos
Allegri
Allegri (G.)
Allegri (Greg.)
Allegri, Ch.
Allegri, Gr.
Allegri, Gregor
Allekotte, Th.
Allemann
Allen, Ch.N.
Allen, Charles
Allen, Charles N.
Aller (F.)
Allers, P.
Allessy, Victor
Alleweile (J.)
Allfeld, Julius
Allfeld, Max
Allfeld, Ph.
Allfeld, Phil.
Allfeld. Ph.
Allgayer, Andreas
Allgayer, Andreas.
Allmann, Fr.
Allmeder, Franz
Allmendinger, Carl
Allmendinger, Carl.
Allmendinger, Carolus
Allmendinger, Karl.
Allmers, H.
Allmers, Hermann
Allocchio, Enr.
Allounan, N.
Allstedt, C.H.
Alm, Fritz
Alma, Max
Almasio (Franç.)
Almasio, Fr.
Almâsy (V.)
Almeder, Hugo
Almenräder
Almenräder (C.)
