Pat_surn	Pat_fore
Acton	Charolus
Acton	Edvardus
Acton	Edward
Acton	Edward
Acton	Edward
Acton	Edwardus
Acton	Edwardus
Acton	Gulielmi
Acton	Gulielmus
Acton	Jane
Acton	Johannem
Acton	Johannes
Acton	Johannes
Acton	Johannes
Acton	Johes
Acton	Joseph
Acton	Joseph
Acton	Mabell
Acton	Nathanianal Lee
Acton	Nathaniel
Acton	Nathaniel
Acton	Nathaniel
Acton	Nathaniel
Acton	Nathaniel
Acton	Nathaniel Lee
Acton	Nathaniel Lee
Acton	Nathaniel Lee
Acton	Nathaniel Lee
Acton	Nathaniel Lee
Acton	Nathaniel Lee
Acton	Nathaniel Lee
Acton	Nathaniel Lee
Acton	Rachel Catherine
Acton	Richard
Acton	Robertus
Acton	Walter
Acton	Walter
Acton	Walterus
Acton	Walterus
Acton	William
Adair	Alexander
Adair	Alexander
Adair	Alexander
Adair	Alexander
Adair	Alexander
Adair	Alexander
Adair	Alexander
Adair	Alexander
Adair	Alexander
Adair	Alexander
Adair	Alexander
Adair	Alexander
Adair	Alexander
Adair	Alexander
Adair	Alexander
Adair	Alexander
Adair	Alexander
Adair	Alexander
Adair	William
Adair	William
Adair	William
Adair	William
Adair	William
Adair	William
Adair	William
Adair	William
Adairs	William
Adam	Richard
Adam	William
Adam	Willimus
Adames	Stephanus
Adams	
Adams	Alice
Adams	Carolus
Adams	Christophorus
Adams	George
Adams	Gulielmus
Adams	Henry
Adams	Henry
Adams	Henry
Adams	Henry Cay
Adams	Henry Cay
Adams	James
Adams	James
Adams	Johannes
Adams	Johannes
Adams	Johannes
Adams	Johannis
Adams	John
Adams	John
Adams	John
Adams	John Philipp
Adams	Joshua
Adams	Joshua
Adams	Joshua
Adams	Judith
Adams	Laurentii
Adams	Laurentii
Adams	Laurentius
Adams	Laurentius
Adams	Maria
Adams	Mary
Adams	Patience Thomas
Adams	Patience Thomas
Adams	Patience Thomas
Adams	Patience Thomas
Adams	Richard
Adams	Richard
Adams	Richard
Adams	Richard
Adams	Richard
Adams	Robert
Adams	Sambrooke
Adams	Simon
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas
Adams	Thomas Baker
Adams	Thomas Coker
Adams	Willelmum
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adams	William
Adamson	Benjamin
Adamson	Benjamin
Adamson	Benjamin
Adamson	Benjamin
Adamson	Guilielmus
Adamson	James
Adamson	James
Adamson	John
Adamson	John
Adamson	John
Adamson	John
Adamson	John
Adamson	Reginaldus
Adamson	Walteri
Adare	
Addams	Richard
Addams	Richardus
Addams	Richardus
Addams	William
Addams Williams	William
Addams Williams	William
Addams Williams	William
Addams williams	William
Addams Williams	William
Addams Williams	William
Addams Williams	William
Addams Williams	William
Addams Williams	William
Addenbroke Mansel	Rawleigh
Addenbrook	Samuel
Addenbrooke	Nichoalaius
Addenbrooke	Samuel
Adderley	Charles
Adderley	Charles Bowyer
Adderley	Charles Bowyer
Adderley	Charles Bowyer
Adderley	Charles Bowyer
Adderley	George William Bouyer
Adderley	Gilbert
Adderley	Humphrey
Adderley	Humphrey
Adderley	John
Adderley	Thomas
Adderly	John
Addern	Edward
Addey	Roberti
Addingbrook	Samuel
Addington	Charles
Addington	Thomas
Addington	William
Addished	Peter
Addison	Agnes
Addison	Agnes
Addison	Franciscus
Addison	Gulielmus
Addison	Hugo
Addison	James
Addison	James
Addison	James
Addison	James
Addison	James
Addison	James
Addison	James
Addison	Robert
Addison	Robert
Addison	Robert
Addison	Thomas
Addison	William
Addison	William
Addison	William
Addison	William Thomas
Addney	John
Addyes	John
Ade	John
Adeane	Henry John
Adeane	Henry John
Adenbrook	Margaret
Aderson	Guilimus
Adey	John
Adey	William
Adey	William
Adey	William
Adey	William
Adis	Henricus
Adis	Henricus
Adished	Petrus
Adkin	Thomas
Adlington	James
Adlington	Thomas
Admiralty, Lords	
Admiralty, Lords Commissioners	
Adnutt	Robert Thomas
Adrbury	Michi
Adye	Jacobus
Adye	Johannes
Adye	John
Adyshed	Petrus
Aelebury	Robert
Aelmer	Samueles
Aeton	Nathanielis
Affleck	Gilbert
Affleck	Gilbert
Affleck	Gilbert
Affleck	James
Affleck	James
Affleck	Johannis
Affleck	John
Affleck	Robert
Affleck	Robert
Affleck	Robert
Affleck	Robert
Affleck	Robert
Affleck	Robert
Affleck	Robert
Affleck	Robert
Affleck	Sir James
Agar	William
Agar	William
Agar	William
Agar	William
Agas	Roberti
Agent	
Agent for incumbent	
Ager	Anne
Ager	Edmund
Ager	William
Agg	Thomae
Aggas	Thomas
Aglionby	Johannes
Agutter	John
Aiger	William
Ailay	Matthias
Ailay	Matthias
Ailesburie	Robert
Ailesbury	Charles
Ailesbury	Charles Brudenell Bruce
Ailesbury	Charles Brudenell Bruce
Ailesbury	Robert
Ailesbury	Robert
Ailesbury	Robertus
Ailesbury	Robertus
Ailesbury	Robertus
Ailesbury	Robertus
Ailesbury	Thomas
Ailesbury	Thomas
Ailesbury	Thomas
Ailesbury	Thomas
Ailesbury	Thomas
Ailesbury	Thomas
Ailesbury	Thomas
Ailesbury	Thomas
Ailesbury	Thomas
Ailesbury	Thomas Bruce
Ailesbury	Thomas Bruce
Ailesbury	Thomas Bruce
Ailesbury	Thomas Bruce
Ailesbury	Thomas Bruce
Ailesbury	Unknown
Ailesbury	Unknown
Ailesbury & Elgin	Robertus
Ailiff	Richard
Ailiff	Richard
Ailmer	Theophilus
Ailsbury	Charles
Ailsbury	Thomas
Ailsbury	Thomas
Ailsbury	Thomas Bruce
Ailsbury	Thomas Bruce
Ailworth	Johannes
Ainge	William
Ainge	William
Ainge	William
Ainge	William
Ainger	Unknown
Ainger	William
Ainger	William
Ainger	Williamm
Ainscough	Radleium
Ainslie	Robert
Ainslie	Robert Sharpe
Ainsworth	Thomas
Airey	Thomas
Airey	Thomas
Airey	Thomas
Airson	John
Aiscogh	Willimus
Aiscough	Edvardus
Aiscough	Edvardus
Aiscough	Edvardus
Aiscough	Maria
Aiscough	Walter
Aiscoughe	Franciscum
Aiscoughe	William
Aish	Samuel
Aishford	Henricus
Aishford	Henricus
Aishford	Henricus
Aishford	Margarete
Aishford	Nicolaus
Aishford	Thomas
Aishton	Franciscus
Aislabie	Rawson
Aitken	Harriet
Aitken	Harriet
Aitken	John
Aitken	John
Aitken	John
Aitken	John
Aitkens	Robert Ellis
Aitkens	Robert Ellis
Aked	William
Aked	William
Aked	William
Akehurst	Alexander
Akehurst	Alexander
Akehurst	Alexander
Akehurst	Alexander
Akehurst	Pell
Akeman	Francis Leach
Alban	Willimus
Albani	Richard
Albany	Franciscus
Albemarle	
Albemarle	
Albemarle	Ann
Albemarle	Charles William
Albemarle	Christopher
Albemarle	Christopherus
Albemarle	Elizabeth
Albemarle	George
Albemarle	George
Albemarle	George
Albemarle	George
Albemarle	George
Albemarle	William Charles
Albemarle	William Charles
Albemarle	William Charles
Albemarle	William Charles
Albemarle	William Charles
Albemarle	William Charles
Albemarle	William Charles
Albemarle	William Charles
Albemarle	William Charles
Albemarle	William Charles
Albemarle	William Charles
Albemarle	William Charles
Albemarle	William Charles
Albemarle	William Charles
Albermarle	Christopherum
Albermarle	Christopherum
Albermarle [sic]	William Charles
Alcock	Christopher
Alcock	Christopher
Alcock	Ellen
Alcock	Gulielmus
Alcock	Jane
Alcock	Johannem
Alcock	Johannem
Alcock	Johannes
Alcock	johannes
Alcock	John
Alcock	John
Alcock	Joseph
Alcock	Laurencius
Alcock	Lawrentius
Alcock	Ludovicus
Alcock	Thomas
Alcock	Thomas
Alcock	Thomas
Alcock	Thomas
Alcocke	Catherina
Alcocke	John
Alcocke	John
Alcocke	Katherine
Alcocke	Stephanus
Alcocke	Stephanus
Alcoke	Jacobum
Alcoke	Johannem
Alcoke	Stephanus
Alcoke	Thomas
Aldburghe	Richardi
Alden	James
Alden	Johes
Alden	John
Aldenbrooke	Edvardus
Alder	Henricus
Alder	John
Alder	Thomas
Alderley School, trustees	
Alderman	Edwardus
Alderman and Burgesses of Bury	
Alderman and Burgesses of Bury	
Alderman and Burgesses of Bury	
aldermen, burgesses	
Aldermen, Citizens and Haberdashers of London	
Aldersey	Samuel
Aldersey	Samuel
Aldersey	Thomas
Aldersey	Thomas
Aldersey	Thomas
Aldersey	William
Aldershaw	John
Aldershaw	John
Aldershaw	John
Aldershaw	John
Alderson	Christopher
Alderson	Christopher
Alderson	Christopher
Alderson	Christopher
Alderson	Christopher
Alderson	Christopher
Alderson	Christopher
Alderson	George
Alderson	George
Alderson	George
Alderson	Johannes
Alderson	Jonathan
Alderson	Jonathan
