		51.6	51	N	36	2											-2.203	2	W	12	6											5000807
		51.6	51	N	36	0											-2.2167	2	W	13	0											7026770
		50.1	50	N	6	0											-5.5667	5	W	34	0											4007842
		54.6667	54	N	40	0											-3.35	3	W	21	0											7010086
		50.9333	50	N	56	0											-2.3	2	W	18	0											7025903
		50.7833	50	N	47	0											-2.7833	2	W	47	0											7025841
		50.7833	50	N	47	0											-2.7833	2	W	47	0											5000785
		50.7833	50	N	47	0											-2.7833	2	W	47	0											7025842
		50.7833	50	N	47	0											-2.7833	2	W	47	0											5000786
		53.634	53	N	38	5											-.355		W	21	6											7028165
		53.634	53	N	38	5											-.355	0	W	21	6											4011157
		51.9	51	N	54	0											1.1833	1	E	11	0											7026199
		51.9	51	N	54	0											1.1833	1	E	11	0											7026206
		43.3167	43	N	19	0											130.15	130	E	9	0											7023962
		43.3167	43	N	19	0											11.3167	11	E	19	0											7024074
		41.6667	41	N	40	0											1.5	1	E	30	0											7002798
		-23.016	23	S	1																											6006765
		41.6667	41	N	40	0											1.5	1	E	30	0											7024277
		32.95	32	N	57	0											-116.8333	116	W	50	0											2010144
		32.95	32	N	57	0											-116.8333	116	W	50	0											2149095
		39.6167	39	N	37	0											-77.4	77	W	24	0											2048944
		38	38	N	0	0											82	82	E	0	0											1111027
		31	31	N	0	0											15	15	E	0	0											7000626
		37.5	37	N	30	0											38.5167	38	E	31	0											1086843
		37.9333	37	N	56	0											41.95	41	E	57	0											1086812
		15.35	15	N	21	0											-91.4833	91	W	29	0											1099969
		57.4	57	N	24	0											-170.2667	170	W	16	0											2637686
		38.2167	38	N	13	0											23.3333	23	E	20	0											1042008
		28.4833	28	N	29	0											30.7833	30	E	47	0											1095325
		52.9	52	N	54	0											172.9	172	E	54	0											2139967
		57.8	57	N	48	0											-135.25	135	W	15	0											7022129
		57.7667	57	N	46	0											-135.2167	135	W	13	0											2714649
		53.95	53	N	57	0											-2.152	2	W	9	6											7030097
		52.8333	52	N	50	0											-1.5333	1	W	32	0											4009207
		52.7	52	N	42	0											.25	0	E	15	0											1030983
		52.733	52	N	44	0											.254	0	E	15	0											7030185
		29.75	29	N	45	0											31.2333	31	E	14	0											7001447
		29.8	29	N	48	0											31.2167	31	E	13	0											1100518
		62.5333	62	N	32	0											-163.9833	163	W	59	0											1132107
		62.5833	62	N	35	0											-164.8	164	W	48	0											2786519
		55.7167	55	N	43	0											13.3333	13	E	20	0											1063547
		55.3833	55	N	23	0											13.3	13	E	18	0											1063545
		44.85	44	N	51	0											15.626	15	E	37	0											7031400
		44.85	44	N	51	0											15.6167	15	E	37	0											1101793
		35.8333	35	N	50	0											-112.5	112	W	30	0											1110275
		35.5	35	N	30	0											-112.4167	112	W	25	0											2640402
		22.5	22	N	30	0											88.3333	88	E	20	0											7029373
		-23.016	23	S	1	0																										7030210
		-35.2	35	S	12	0											174.169	174	E	10	0											7030602
		32.8	32	N	48	0											35.1	35	E	6	0											1079538
		32.8167	32	N	49	0											35.1	35	E	6	0											1079594
