		C	P	P		7003167	1045754
		C	P	P		7003162	1045918
		C	P	P		7003165	1045931
		C	P	P		7003162	1045959
		C	P	P		7003168	1045962
		C	P	P		7003167	1045970
		C	P	P		7003163	1045991
		C	P	P		7003165	1046000
		C	P	P		7003162	1046002
		C	P	P		7003167	1046031
		C	P	P		7003166	1046075
		C	P	P		7003166	1046082
		C	P	P		7003163	1046089
		C	P	P		7003163	1046095
		C	P	P		7003165	1046096
		C	P	P		7003168	1046097
		C	P	P		7003167	1046118
		C	P	P		1003460	1046135
		C	P	P		7006197	1046139
		C	P	P		1003460	1046148
		C	P	P		7006197	1046205
		C	P	P		7003162	1046210
		C	P	P		7003167	1046215
		C	P	P		7003164	1046217
		C	P	P		7003168	1046228
		C	P	P		7006197	1046288
		C	P	P		1003460	1046302
		C	P	P		1003460	1046346
		C	P	P		7003164	1046384
		C	P	P		7003164	1046385
		C	P	P		7003166	1046438
		C	P	P		7003167	1046451
		C	P	P		7003166	1046545
		C	P	P		7003167	1046567
		C	P	P		7003164	1046615
		C	P	P		7003164	1046641
		C	P	P		7003166	1046703
		C	P	P		1003460	1046709
		C	P	P		7003166	1046712
		C	P	P		7003166	1046721
		C	P	P		1003460	1046802
		C	P	P		1003460	1046803
		C	P	P		7003165	1047001
		C	P	P		7003162	1047023
		C	P	P		7003164	1047036
		C	P	P		7003162	1047087
		C	P	P		7003162	1047093
		C	P	P		7003166	1047112
		C	P	P		7003165	1047144
		C	P	P		7003168	1047151
		C	P	P		7003163	1047166
		C	P	P		7024741	1047269
		C	P	P		7003166	1047332
		C	P	P		7003167	1047338
		C	P	P		7003164	1047352
		C	P	P		7024741	1047366
		C	P	P		1003473	1047446
		C	P	P		1003473	1047514
		C	P	P		7003168	1100052
		C	P	P		7003162	1100124
		C	P	P		7003166	1100133
		C	P	P		7009760	1101282
		C	P	P		1003473	1101289
		C	P	P		7009760	1103685
		C	P	P		7003164	1104120
		C	P	P		7006197	1104138
		C	P	P		1006715	1104163
		C	P	P		7003168	1104192
		C	P	P		7003162	1104629
		C	P	P		1003460	1105021
		C	P	P		1003460	1105368
		C	P	P		1003460	1105685
		C	P	P		7009760	1106401
		C	P	P		7009760	1106911
		C	P	P		7003167	1108367
		C	P	P		7009760	1108368
		C	P	P		7009760	1108469
		C	P	P		7009760	1108487
		C	P	P		7009760	1108527
		C	P	P		7003165	1108590
