1000000		4007395	N	7003165	A		1		4007395
1000000		4007415	N	7003162	A		1		4007415
1000000		4007418	N	7003163	A		1		4007418
1000000		4007428	N	7003165	A		1		4007428
1000000		4007430	N	1003460	A		1		4007430
1000000		4007432	N	7024741	A		1		4007432
1000000		4007436	N	7003163	A		1		4007436
1000000		4007536	N	7003163	A		1		4007536
1000000		4007544	N	7003164	A		1		4007544
1000000		4007713	N	7003163	A		1		4007713
1000000		4008606	N	7003168	A		1		4008606
1000000		4008629	N	7003163	A		1		4008629
1000000		4008630	N	7003163	A		1		4008630
1000000		4008633	N	7003167	A		1		4008633
1000000		4008700	N	7003163	A		1		4008700
1000000		4008796	N	7000457	A		1		4008796
1000000		4008821	N	7003167	A		1		4008821
1000000		4008823	N	7003163	A		1		4008823
1000000		4008833	N	7003162	A		1		4008833
1000000		4009026	N	7003168	A		1		4009026
1000000		4009191	N	7003163	A		1		4009191
1000000		4009196	N	7003168	A		1		4009196
1000000		4009272	N	7000457	A		1		4009272
1000000		4009376	N	7003165	A		1		4009376
1000000		4009496	N	7003163	A		1		4009496
1000000		4009900	N	7003163	A		1		4009900
1000000		4009905	N	7003168	A		1		4009905
1000000		4009908	N	7003165	A		1		4009908
1000000		4009921	N	7003168	A		1		4009921
1000000		4009934	N	7003163	A		1		4009934
1000000		4009964	N	7003163	A		1		4009964
1000000		4009967	N	7003163	A		1		4009967
1000000		4009970	N	7003166	A		1		4009970
1000000		4009978	N	7003168	A		1		4009978
1000000		4009984	N	7003163	A		1		4009984
1000000		4010042	N	7003163	A		1		4010042
1000000		4010045	N	7003163	A		1		4010045
1000000		4010067	N	7003168	A		1		4010067
1000000		4010288	N	7003165	A		1		4010288
1000000		4010336	N	7003163	A		1		4010336
1000000		4010338	N	7003167	A		1		4010338
1000000		4010360	N	7003163	A		1		4010360
1000000		4010671	N	7003167	A		1		4010671
1000000		4011334	N	1003473	A		1		4011334
1000000		4011352	N	7003163	A		1		4011352
1000000		4011602	N	7003167	A		1		4011602
1000000		4011603	N	7009760	P		1		4011603
1000000		4011735	N	1003473	A		1		4011735
1000000		4011776	N	7003165	A		1		4011776
1000000		4011913	N	7003168	A		1		4011913
1000000		5002255	N	7003163	A		1		5002255
1000000		5002811	N	7003163	A		1		5002811
1000000		5002812	N	7003168	A		1		5002812
1000000		5002824	N	7003168	A		1		5002824
1000000		5002825	N	7003163	A		1		5002825
1000000		5002835	N	7003162	A		1		5002835
1000000		5002844	N	7003167	A		1		5002844
1000000		5002845	N	7003162	A		1		5002845
1000000		5002848	N	7003162	A		1		5002848
1000000		5002851	N	7000457	A		1		5002851
1000000		5002856	N	7000457	A		1		5002856
1000000		5002857	N	7003167	A		1		5002857
1000000		5002859	N	7003163	A		1		5002859
1000000		5002866	N	7003163	A		1		5002866
1000000		5002871	N	7003163	A	Village in the Arno valley, near Florence; church of San Bartolo (reconstructed in 1304) has a memorial stone attesting to its original construction, & an altarpiece attributed to Neri di Bicci (ca. 1418-ca. 1492).	1		5002871
1000000		5002872	N	7003163	A		1		5002872
1000000		5002873	N	7003163	A		1		5002873
1000000		5002876	N	7003162	A		1		5002876
1000000		5002884	N	7009760	P	Bend in the Arno River, near Rovezzano; site of church of San Jacopo al Girone.	1		5002884
1000000		5002885	N	7003163	A		1		5002885
1000000		5002887	N	7003162	A		1		5002887
1000000		5002890	N	7003163	A		1		5002890
1000000		5002891	N	7003163	A		1		5002891
1000000		5002892	N	7003163	A		1		5002892
1000000		5002893	N	7003163	A		1		5002893
1000000		5002894	N	7003163	A		1		5002894
1000000		5002895	N	7003166	A		1		5002895
1000000		5002898	N	7003162	A		1		5002898
1000000		5002899	N	7003163	A		1		5002899
1000000		5002901	N	7003163	A		1		5002901
1000000		5002902	N	7003163	A		1		5002902
1000000		5002903	N	7003163	A		1		5002903
1000000		5002904	N	7000457	A		1		5002904
1000000		5002905	N	7003163	A		1		5002905
1000000		5002906	N	7003163	A		1		5002906
1000000		5002909	N	7000457	A		1		5002909
1000000		5002912	N	7003163	A		1		5002912
1000000		5002914	N	7003163	A		1		5002914
1000000		5002915	N	7003163	A	Suburb of Empoli; noted as birthplace of the painter Jacopo Carrucci, called Pontormo (1494-1556).	1		5002915
1000000		5002918	N	7003163	A		1		5002918
1000000		5002919	N	7003163	A		1		5002919
1000000		5002920	N	7003163	A		1		5002920
1000000		5002921	N	7003163	A		1		5002921
1000000		5002922	N	7000457	A		1		5002922
1000000		5002923	N	7003163	A		1		5002923
1000000		5002924	N	7003163	A		1		5002924
1000000		5002926	N	7003163	A		1		5002926
1000000		5002927	N	7003163	A		1		5002927
1000000		5002928	N	7003163	A		1		5002928
1000000		5002929	N	7000457	A		1		5002929
1000000		5002930	N	7003163	A		1		5002930
1000000		5002931	N	7003163	A		1		5002931
1000000		5002934	N	7003163	A		1		5002934
1000000		5002935	N	7003163	A		1		5002935
1000000		5002936	N	7003163	A		1		5002936
1000000		5002937	N	7003163	A		1		5002937
1000000		5002941	N	7003163	A		1		5002941
1000000		5002943	N	7003163	A		1		5002943
1000000		5002945	N	7003163	A		1		5002945
1000000		5002947	N	7000457	A		1		5002947
1000000		5002948	N	7003163	A		1		5002948
1000000		5002951	N	7003163	A		1		5002951
1000000		5002952	N	7003166	A		1		5002952
1000000		5002962	N	1003460	A		1		5002962
1000000		5002965	N	1003460	P		1		5002965
1000000		5002967	N	1003460	A		1		5002967
1000000		5002971	N	1003460	A		1		5002971
1000000		5002975	N	1003460	A		1		5002975
1000000		5002976	N	7006197	A		1		5002976
1000000		5002982	N	1003460	A		1		5002982
1000000		5002987	N	7003165	A		1		5002987
1000000		5002989	N	7003165	A		1		5002989
1000000		5002990	N	7003165	A		1		5002990
1000000		5002991	N	7003165	A		1		5002991
1000000		5002992	N	7003165	A		1		5002992
1000000		5002994	N	1003473	A		1		5002994
1000000		5002996	N	1003473	A		1		5002996
1000000		5002997	N	1003473	A		1		5002997
1000000		5003004	N	7003166	A		1		5003004
1000000		5003005	N	7003166	A		1		5003005
1000000		5003009	N	7003166	A		1		5003009
1000000		5003011	N	7003166	A		1		5003011
1000000		5003014	N	7003167	A		1		5003014
1000000		5003017	N	7003167	A		1		5003017
1000000		5003019	N	7003168	A		1		5003019
1000000		5003021	N	7003168	A		1		5003021
1000000		5003024	N	7003168	A		1		5003024
1000000		5003027	N	7003168	A		1		5003027
1000000		5003031	N	7003168	A		1		5003031
1000000		5003033	N	7003168	A		1		5003033
1000000		5003035	N	7003168	A		1		5003035
1000000		5003038	N	7003168	A		1		5003038
1000000		5003049	N	7003168	A		1		5003049
1000000		5003051	N	7003168	A		1		5003051
1000000		5003060	N	7003166	A		1		5003060
1000000		5004321	N	1003460	A		1		5004321
1000000		6005278	N	1003460	A		1		6005278
1000000		7000214	N	7003168	A	Tiny hill town overlooking the Arbia river; was fortified in 14th cen.	1		7000214
