S	123	9006037	1117234
S	14	9006037	1121328
S	I, 50	9006447	1121388
S		9006561	1121388
S	accessed 01/20/99	2009007181	1121388
S		9006561	1121940
S	34	9006037	1122250
S		9006561	1122612
S		9006561	1123066
S		9006561	1123775
S	I-53	9006541	1123823
S	I-65	9006541	1124371
S		9006561	1126117
S		9006561	1126122
S	119	9006037	1126668
S		9006561	1126668
S		9006561	1127088
S	145	9006037	1128089
S		9006561	1128089
S		9006561	1128141
S	152	9006037	1128558
S		9006561	1128558
S	21	9005423	1129867
S		9006561	1129867
S		9006561	1130008
S		9006561	1137022
S		9006009	4000491
S		9006561	4000491
S		9005498	4000862
S		9006561	4000862
S		9005498	4001112
S		9005498	4001206
S		9005498	4001386
S	212	9006009	4001692
S		9006303	4001692
S		9006561	4001692
S		9005498	4001976
S	213	9006009	4001976
S		9006009	4002142
S	326	9006009	4002143
S		9005498	4002281
S		9000791	4002300
S		9005498	4002300
S	Baldini, LIV/19 (1989), 27-35	9005718	4002300
S		9006009	4002300
S		2009007094	4002300
S		9005498	4002302
S	XVIII/3 (May-June 1979) 31-37	9005703	4002333
S	I, 335	9006455	4002333
S	Prezzolini, C, XCII (1985), 362-376	9000808	4002344
S		9005498	4002353
S		9000844	4002427
S	478	9006009	4002427
S		9005498	4002439
S		9005498	4002640
S		9006592	4002640
S		9005498	4002660
S		9006592	4002660
S		9005498	4002753
S		9006592	4002753
S	Santi, XXIV/1-3 (1985), 56-57	9005703	4002779
S		9005498	4002789
S	48	9006037	4002789
S		9006444	4002789
S		9005498	4002793
S		9005498	4002803
S	414	9005664	4002880
S		9005498	4003081
S		9005498	4003317
S	388	9005664	4003317
S		9005498	4003884
S		9005498	4003903
S		9000086	4003918
S	13 ff.	9005664	4003918
S		9006313	4003918
S	XV, 447	9006324	4003918
S	I, 928	9006455	4003918
N	"Florence." Accessed 07/08/2002.	2009007043	4003918
S		2009007043	4003918
S		2009007203	4003918
S	410	9005664	4003976
S		9005498	4004239
S		9005498	4004361
S		9006009	4004361
S		9006234	4004422
S		9005498	4004519
S		9005498	4005345
S	712	9006009	4005345
S		9006444	4005345
