	N	9006527	7029382	1001175269
Accessed 05/29/2002.	N	9006879	7029382	1001175269
Accessed 05/29/2002.	N	9006879	7029382	1001175270
357	U	9006548	7029382	1001175271
193	U	9006549	7029382	1001175271
II, 927	U	9006447	7029382	1001175272
II, 927	U	9006447	7029382	1001175273
XI, 679	U	9006382	7029382	1001175274
XI, 679	U	9006382	7029382	1001175275
II, 927	U	9006447	7029382	1001175276
XI, 679	U	9006382	7029382	1001175277
XI, 679	U	9006382	7029382	1001175278
"Athens and Thebes." Accessed 05/29/2002.	N	2009007028	7029382	1001175279
910	N	9006267	7029368	1001175193
1143	N	9006267	4008119	1001175194
	N	9006428	4008119	157749
	N	9006428	4008119	157748
9 ff.	N	2009007085	7029436	1001175467
140	N	9006267	7029436	1001175468
"Berlin." Accessed 06/26/2002.	N	2009007043	7029436	1001175468
	N	2009007034	7029436	1001175469
I-19	U	9004825	7003713	36836
155	U	2009007033	7027454	1169741
252	U	9006871	7027454	1169741
155	U	2009007033	7027454	1169742
	U	9006249	4003596	147010
691	U	9006267	7003637	312569
I, 533	U	9006447	7003637	312569
146	U	9004786	7003637	312570
	U	9006303	5000010	158859
	U	9006449	4007964	151416
	N	9006428	4007964	156546
	P	9006561	1111940	113108
Accessed 07/01/2002.	P	2009007043	1111940	1001175489
Accessed 07/01/2002.	N	9006879	1111940	1001175489
1/174	P	9006447	1111940	1001175489
Accessed 07/01/2002.	N	9006879	1111940	1001175490
340	U	9006548	6001296	166615
accessed 04/15/99	U	9006707	7024351	1158549
accessed 04/15/99	U	9006707	7024351	1158550
	U	9000086	7012205	151230
	U	9006084	7012205	151230
	U	9006449	7012205	151230
199	U	9006267	7026969	159545
	U	9006449	7026969	159545
199	U	9006267	7026969	319462
199	U	9006267	7026969	319463
199	U	9006267	7026969	319464
	U	9006561	7026969	319464
	U	9006590	7026969	1154032
30	U	9005423	7026969	1160972
	U	9006982	7026969	1168338
	U	9007006	7026969	1168338
accessed 16 Dec 2002	N	2009007103	7026969	1001175717
xvii	N	9006871	7026969	1001175718
accessed 16 Dec 2002	N	2009007104	7026969	1001175719
V, 589	U	9005014	7008048	2599
16	U	9005218	7008048	2599
	U	9006249	7008048	2599
	U	9006561	7008048	2599
478	U	9006267	7008048	315531
775	P	9006871	7029428	1001175432
309	P	2009007033	7029428	1001175432
309	N	2009007033	7029428	1001175433
309	N	2009007033	7029428	1001175435
309	N	2009007033	7029428	1001175434
309	N	2009007033	7029428	1001175436
792	U	9005213	4012302	155781
	U	9006249	4012302	155781
	U	9006364	4012302	155781
309	P	2009007033	7029399	1001175320
309	N	2009007033	7029399	1001175322
309	N	2009007033	7029399	1001175323
691	N	9006871	7029399	1001175320
707	U	9005213	4010940	154412
	U	9006249	4010940	154412
308	N	2009007033	7029346	1001175134
308	N	2009007033	7029346	1001175135
640	P	9006871	7029346	1001175133
308	P	2009007033	7029346	1001175133
654	U	9005213	4010368	153834
	U	9006249	4010368	153834
630	P	9006871	7029339	1001175108
308	P	2009007033	7029339	1001175108
308	N	2009007033	7029339	1001175109
308	N	2009007033	7029339	1001175110
648	U	9005213	4009987	153451
333	U	9005742	4009987	153451
	U	9006357	4009987	153451
308	N	2009007033	7029311	1001175017
541	P	9006871	7029311	1001175016
308	P	2009007033	7029311	1001175016
	U	9006249	4008052	151505
487	P	9006871	7029068	1001174701
307	P	2009007033	7029068	1001174701
307	N	2009007033	7029068	1001174702
499	U	9005213	4007048	150490
	U	9006249	4007048	150490
306	P	2009007033	7028831	1001174144
306	N	2009007033	7028831	1001174145
306	N	2009007033	7028831	1001174146
188	P	9006871	7028831	1001174147
	U	9006249	4002989	146395
170	U	2009007033	7027854	1170889
254	U	9006871	7027854	1170889
170	U	2009007033	7027854	1170890
170	U	2009007033	7027854	1170891
259	U	9005213	4003609	147023
	U	9006249	4003609	147023
	U	9006357	4003609	147023
171	U	2009007033	7027898	1171029
324	U	9006871	7027898	1171029
171	U	2009007033	7027898	1171030
171	U	2009007033	7027898	1171031
330	U	9005213	5000843	159990
	U	9006444	5000843	159990
	U	9006983	7026573	1167208
	U	9006985	7026573	1167208
	U	9006999	7026573	1167208
accessed 16 Dec 2002	N	2009007104	7026573	1001175772
accessed 16 Dec 2002	N	2009007108	7026573	1001175772
accessed 16 Dec 2002	AP	2009007107	5000464	315897
	U	9004975	2011252	195928
GNIS6042990	U	9006553	2221247	508064
GNIS6042990	U	9006553	2221247	508065
xvii	U	9006871	7026512	1167061
	U	9006982	7026512	1167061
	U	9006983	7026512	1167061
	U	9006985	7026512	1167061
	U	9006988	7026512	1167061
I-20	U	9006541	1003565	348257
I-106	U	9006541	1094353	95281
plate 85	U	9006561	1094353	364915
accessed 15 April 2003	N	9006807	7029588	1001176169
accessed 15 April 2003	N	2009007043	7029588	1001176169
I-186	U	9006483	7007481	109628
I-183	U	9006483	7007481	139187
354	U	9006548	7007481	170439
14	U	9005423	7024692	1160764
14	U	9005423	7024692	1160765
14	U	9005423	7024692	1160766
14	U	9005423	7024692	1160767
66	U	9006549	7024692	1160768
66	U	9006549	7024692	1160769
	U	9006703	7024692	1160769
	U	9006703	7024692	1160770
accessed 10 June 2003	P	9006879	7024692	1160769
accessed 10 June 2003	AP	9006879	7024692	1001176239
accessed 3 July 2003	N	2009007149	7029620	1001176313
GNIS39011576	U	9006553	2505932	832868
Accessed 04/02/2002	N	9006879	7028968	1001174335
I-83	U	9004824	2025018	397221
I-83	U	9004824	2025018	1154478
GNIS15006820	U	9006553	2747648	1108971
GNIS15006820	U	9006553	2747648	1108972
	U	9002346	4006745	150183
	U	9002347	4006745	150183
232	U	9005417	4006745	326148
accessed 24 July 2003	P	9006879	7029799	1001176939
1, 500	P	2009007067	7029799	1001176939
	N	2009007094	7029807	1001177007
	N	2009007094	7029807	1001177009
