		C	P	P		7026969	1064844
		C	P	P		7026969	1064849
		C	P	P		7026969	1064850
		C	P	P		7026969	1103749
		C	P	P		7026969	1104108
		C	P	P		7026969	1104709
		C	P	P		7026969	1106513
		C	P	P		7026969	1111405
		C	P	P		7026969	1112646
		C	P	P		7026969	1113640
		C	P	P		7026969	1113947
		C	P	P		7026969	1114919
		C	P	P		7026969	1118367
		C	P	P		7026969	1123595
		C	P	P		7026969	1123600
		C	P	P		7026969	1123650
		C	P	P		7026969	1124205
		C	P	P		7026969	1128849
		C	P	P		7026969	1131057
		C	P	P		7026969	1131857
		C	P	P		7026969	1138714
		C	P	P		7026969	4003095
		C	P	P		7026969	4006466
		C	P	P		7026969	4006476
		C	P	P		7026969	4006500
		C	P	P		7026969	4008855
		C	P	P		7026969	4011340
		C	P	P		7026969	6002322
		C	P	P		7026969	7008724
		C	P	P		7026969	7008824
		C	P	P		7026969	7008828
		C	P	P		7026969	7008846
		C	P	P		7026969	7012160
		C	P	P		7026969	7012229
		C	P	P		7026969	7017243
		C	P	P		7026969	7017287
		C	P	P		7000763	7008048
		C	P	P		7008048	4006773
		C	P	P		7019057	7029428
		C	P	P		7019057	4012302
			P	P		7019057	7029399
		C	P	P		7019057	4010940
		C	P	P		7019057	7029346
		C	P	P		7019057	4010368
		C	P	P		7019057	7029339
		C	P	P		7019057	4009987
			P	P		7019057	7029311
		C	P	P		7019057	4008052
			P	P		7019057	7029068
		C	P	P		7019057	4007048
			P	P		7019057	7028831
		C	P	P		7019057	4002989
		C	P	P		7019054	7027854
		C	P	P		7008146	4003609
		C	P	P		7019055	7027898
		C	P	P		7008146	5000843
		C	P	P		7002445	7026573
		C	P	P		7026573	1003614
		C	P	P		7026573	1003639
		C	P	P		7026573	1003641
		C	P	P		7026573	1003666
		C	P	P		7026573	1004884
		C	P	P		7000760	7008158
		C	P	P		7008158	7010610
		C	P	P		7002445	7026574
		C	N	P		7008171	7026574
		C	P	P		7026574	7019047
		C	P	P		7026574	7019048
		C	P	P		7026574	7019049
		C	P	P		7026574	7019053
		C	P	P		7010455	7008169
		C	P	P		7008169	4000356
		C	P	P		7008169	4000361
		C	P	P		7008169	4001658
		C	P	P		7008169	4001908
		C	P	P		7008169	4001992
		C	P	P		7008169	4004786
		C	P	P		7008169	4004833
		C	P	P		7008169	4005009
		C	P	P		7008169	4005115
		C	P	P		7008169	4012041
		C	P	P		7008169	4012138
		C	P	P		7008169	4012371
		C	P	P		7008169	4012378
		C	P	P		7008169	5000913
		C	P	P		7008169	5000954
		C	P	P		7002445	7026571
		C	P	P		7026571	7019026
		C	P	P		7026571	7019027
		C	P	P		7026571	7019028
		C	P	P		7026571	7019029
		C	P	P		7026571	7019030
		C	P	P		7026571	7019031
		C	P	P		7026571	7019032
		C	P	P		7010455	7008179
		C	P	P		7008179	4007816
		C	P	P		7002445	7026572
		C	N	P		7008171	7026572
		C	P	P		7026572	1003567
		C	P	P		7026572	1003573
		C	P	P		7026572	1003611
		C	P	P		7026572	7019038
		C	P	P		7026572	7019040
		C	P	P		7010463	7008170
		C	P	P		7008170	1030407
		C	P	P		7008170	4001247
		C	P	P		7008170	4002247
		C	P	P		7008170	4004142
		C	P	P		7008170	4008340
		C	P	P		7008170	4008462
		C	P	P		7008170	4010520
		C	P	P		7008170	4011251
		C	P	P		7002444	7008095
		C	P	P		7008095	1006600
		C	P	P		7008095	1007071
		C	P	P		7008095	1007097
		C	P	P		7008095	1007123
		C	P	P		7008095	1007350
		C	P	P		7008095	1008231
		C	P	P		7008095	1008236
		C	P	P		7008095	1008393
		C	P	P		7008095	1008527
		C	P	P		7008095	1009570
		C	P	P		7008095	1009599
		C	P	P		7008095	1009710
		C	P	P		7008095	1009719
		C	P	P		7008095	1009781
		C	P	P		7008095	1010199
		C	P	P		7008095	1112931
